team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Arsenal FC,Arsenal,2020/2021,England,33,17,16,0,13,6,7,7,4,3,13,7,6,1.39,1.29,1.5,10,9,8,10,44,37,7,81,39,42,19,25,20,17,-1,8,68,80,58,80,76,85,9,3,6,15,8,7,12,8,4,13,5,8,175,99,76,53,22,31,53,54,53,428,228,200,160,82,78,268,146,122,302,170,132,21,8,13,22,7,15,-1,1,-2,7,2,5,16,11,5,10,4,6,1.12,1,1.25,2.45,2.29,2.63,1.33,1.12,1.56,1.12,1.18,1.06,1.3,0.88,1.75,0.64,0.47,0.81,0.67,0.41,0.94,30,22,18,7,2,2,15,11,9,2,1,1,15,11,9,5,1,1,3,11,15,26,31,31,2,6,8,15,16,16,1,5,7,11,15,15,91,67,55,21,6,6,88,65,53,12,6,6,94,69,56,31,6,6,9,33,45,79,94,94,12,35,47,88,94,94,6,31,44,69,94,94,21,14,7,8,5,2,13,9,5,64,42,21,47,29,12,81,56,31,39,35,44,-11,27,18,38,45,47,44,36,47,25,39,29,50,17,11,6,52,65,38,18,12,6,55,71,38,10,3,7,30,18,44,21,12,31,48,65,31,30,24,38,5.30,5.82,4.75,1.61,1.29,1.94,82,79,70,45,33,27,9,9,1.47,1.50,1.44,1.35,1.27,1.43,70,3,1,5,7,8,6,7,3,4,4,4,5,4,6,2,3,5,4,21,24,19,39,41,38,9
Tottenham Hotspur FC,Tottenham Hotspur,2020/2021,England,33,16,17,0,15,8,7,8,3,5,10,5,5,1.61,1.69,1.53,7,6,7,7,56,38,18,94,46,48,28,28,18,20,10,8,53,51,55,78,80,76,10,5,5,18,8,10,6,3,3,20,11,9,135,66,69,50,23,27,51,50,51,397,197,200,177,93,84,220,104,116,378,198,180,32,16,16,14,5,9,18,11,7,16,9,7,10,3,7,7,4,3,1.76,1.88,1.65,2.85,2.88,2.82,1.7,1.75,1.65,1.15,1.13,1.18,1.39,1.31,1.47,0.97,1,0.94,0.42,0.31,0.53,32,26,17,10,4,3,16,14,8,5,2,1,16,12,9,5,2,2,1,7,16,23,29,30,0,2,8,11,14,15,1,5,8,12,15,15,97,79,52,30,12,9,100,88,50,31,13,6,94,71,53,29,12,12,3,21,48,70,88,91,0,12,50,69,87,94,6,29,47,71,88,88,28,12,4,14,5,2,14,7,2,85,36,12,88,31,13,82,41,12,45,50,41,3,30,31,29,55,50,59,18,19,18,61,69,53,19,11,8,58,69,47,12,6,6,36,38,35,7,1,6,21,6,35,48,56,41,30,19,41,21,25,18,4.09,4.13,4.06,1.52,1.44,1.59,79,76,64,48,36,21,9,6,1.37,1.42,1.32,1.53,1.43,1.63,76,8,5,9,7,7,6,6,5,3,2,1,5,2,7,5,4,2,10,24,19,29,30,31,29,3
Manchester City FC,Manchester City,2020/2021,England,33,17,16,0,24,12,12,5,2,3,4,3,1,2.33,2.24,2.44,1,1,1,1,69,24,45,93,52,41,37,32,15,9,22,23,43,41,45,123,102,161,17,9,8,14,7,7,3,1,2,26,14,12,220,128,92,39,18,21,64,67,61,545,303,242,222,123,99,323,180,143,302,157,145,37,19,18,11,7,4,26,12,14,19,10,9,10,5,5,4,2,2,2.03,2.06,2,2.82,3.06,2.56,2.09,2.18,2,0.73,0.88,0.56,1.45,1.53,1.38,1.12,1.12,1.13,0.33,0.41,0.25,32,26,15,10,6,2,17,14,8,5,4,2,15,12,7,5,2,0,1,7,18,23,27,31,0,3,9,12,13,15,1,4,9,11,14,16,97,79,45,30,18,6,100,82,47,29,24,12,94,75,44,31,13,0,3,21,55,70,82,94,0,18,53,71,76,88,6,25,56,69,87,100,28,13,5,16,7,2,12,6,3,85,39,15,94,41,12,75,38,19,73,71,75,-9,52,53,50,42,41,44,9,6,13,79,82,75,22,10,12,67,59,75,9,3,6,27,18,38,7,5,2,21,29,13,58,59,56,30,29,31,12,12,13,6.67,7.53,5.75,1.18,1.06,1.31,76,67,61,61,39,36,9,9,2.13,2.32,1.94,0.85,0.86,0.84,64,7,8,11,7,7,9,6,7,7,3,2,1,2,4,4,3,2,3,15,12,19,12,18,6,9
Leicester City FC,Leicester City,2020/2021,England,33,17,16,0,19,9,10,5,1,4,9,7,2,1.88,1.65,2.13,3,4,3,3,60,38,22,98,52,46,30,30,22,16,8,14,49,51,48,78,70,90,11,6,5,17,7,10,6,4,2,16,8,8,176,94,82,55,23,32,54,54,54,431,220,211,181,93,88,250,127,123,356,201,155,25,15,10,20,11,9,5,4,1,10,6,4,14,6,8,9,5,4,1.33,1.41,1.25,2.97,3.06,2.88,1.82,1.76,1.88,1.15,1.29,1,1.36,1.53,1.19,0.76,0.88,0.63,0.61,0.65,0.56,32,29,20,9,5,2,17,15,11,6,2,1,15,14,9,3,3,1,1,4,13,24,28,31,0,2,6,11,15,16,1,2,7,13,13,15,97,88,61,27,15,6,100,88,65,35,12,6,94,88,56,19,19,6,3,12,39,73,85,94,0,12,35,65,88,94,6,12,44,81,81,94,25,17,3,14,9,3,11,8,0,76,52,9,82,53,18,69,50,0,58,53,63,-8,33,35,31,52,41,63,18,24,13,48,47,50,18,9,9,55,53,56,16,7,9,48,41,56,7,4,3,21,24,19,30,35,25,42,35,50,27,29,25,5.33,5.53,5.13,1.67,1.35,2.00,91,79,76,55,36,30,24,15,1.49,1.49,1.49,1.26,1.26,1.27,76,3,5,6,6,7,5,6,10,12,4,3,7,3,6,3,2,4,6,15,6,25,27,41,13,9
West Bromwich Albion FC,West Bromwich Albion,2020/2021,England,33,16,17,0,5,3,2,10,5,5,18,8,10,0.76,0.88,0.65,19,18,19,19,30,64,-34,94,45,49,12,18,33,31,-21,-13,99,120,85,46,44,49,6,5,1,14,4,10,16,9,7,8,5,3,116,80,36,52,26,26,38,38,38,317,153,164,122,59,63,195,94,101,355,168,187,16,9,7,32,14,18,-16,-5,-11,6,4,2,12,7,5,15,5,10,0.91,1.19,0.65,2.85,2.81,2.88,0.91,0.75,1.06,1.94,2.06,1.82,1.45,1.44,1.47,0.48,0.56,0.41,0.97,0.88,1.06,30,24,17,10,7,4,14,10,9,6,4,2,16,14,8,4,3,2,3,9,16,23,26,29,2,6,7,10,12,14,1,3,9,13,14,15,91,73,52,30,21,12,88,63,56,38,25,13,94,82,47,24,18,12,9,27,48,70,79,88,12,37,44,62,75,87,6,18,53,76,82,88,25,14,7,11,7,3,14,7,4,76,42,21,69,44,19,82,41,24,15,19,12,-12,18,31,6,42,25,59,48,56,41,24,31,18,13,9,4,39,56,24,21,10,11,64,63,65,7,2,5,21,13,29,18,25,12,36,44,29,45,31,59,3.52,5.00,2.12,1.58,1.63,1.53,85,76,64,61,42,30,24,18,0.87,0.90,0.85,1.90,1.93,1.87,88,4,2,4,2,8,3,4,0,3,7,2,9,8,6,11,8,5,8,30,31,29,55,50,59,18
Crystal Palace FC,Crystal Palace,2020/2021,England,32,16,16,1,10,5,5,8,5,3,14,6,8,1.19,1.25,1.13,13,14,15,13,34,54,-20,88,41,47,16,18,25,29,-9,-11,85,90,80,53,58,50,7,6,1,16,7,9,12,5,7,14,8,6,116,59,57,45,20,25,41,41,41,297,139,158,130,60,70,167,79,88,332,161,171,19,10,9,23,14,9,-4,-4,0,11,5,6,10,5,5,11,6,5,1.34,1.25,1.44,2.75,2.56,2.94,1.06,1,1.13,1.69,1.56,1.81,1.31,1.5,1.13,0.59,0.63,0.56,0.72,0.88,0.56,29,25,16,9,6,2,14,11,6,4,4,1,15,14,10,5,2,1,3,7,16,23,26,30,2,5,10,12,12,15,1,2,6,11,14,15,91,78,50,28,19,6,88,69,38,25,25,6,94,88,63,31,13,6,9,22,50,72,81,94,12,31,62,75,75,94,6,12,37,69,87,94,24,11,6,11,7,5,13,4,1,75,34,19,69,44,31,81,25,6,31,31,31,1,22,38,6,50,44,56,38,31,44,44,50,38,17,9,8,53,56,50,17,9,8,53,56,50,6,3,3,19,19,19,34,31,38,31,31,31,34,38,31,3.63,3.69,3.56,1.41,1.25,1.56,91,75,59,47,28,19,13,0,0.88,0.86,0.92,1.71,1.59,1.83,75,5,4,5,2,3,4,4,1,6,11,1,8,2,5,7,5,6,9,25,31,19,44,38,50,0
Everton FC,Everton,2020/2021,England,32,16,16,1,15,5,10,7,4,3,10,7,3,1.63,1.19,2.06,8,15,4,8,44,40,4,84,47,37,22,22,25,15,-3,7,65,65,65,72,58,96,9,2,7,17,10,7,7,4,3,17,7,10,134,77,57,58,26,32,47,48,46,349,182,167,152,78,74,197,104,93,333,169,164,25,14,11,19,10,9,6,4,2,11,6,5,16,8,8,5,2,3,1.53,1.63,1.44,2.63,2.94,2.31,1.38,1.38,1.38,1.25,1.56,0.94,1.38,1.5,1.25,0.78,0.88,0.69,0.59,0.63,0.56,31,23,14,8,4,3,16,12,8,6,2,2,15,11,6,2,2,1,1,9,18,24,28,29,0,4,8,10,14,14,1,5,10,14,14,15,97,72,44,25,13,9,100,75,50,38,13,13,94,69,38,13,13,6,3,28,56,75,87,91,0,25,50,62,87,87,6,31,62,87,87,94,21,15,7,11,8,5,10,7,2,66,47,22,69,50,31,63,44,13,47,31,63,-13,28,13,44,53,63,44,22,25,19,53,44,63,17,8,9,53,50,56,14,5,9,44,31,56,12,8,4,38,50,25,34,38,31,50,50,50,16,13,19,4.19,4.81,3.56,1.81,1.63,2.00,91,75,66,47,34,28,19,9,1.14,1.20,1.08,1.63,1.62,1.63,66,6,3,5,6,6,5,5,4,4,3,3,6,5,5,1,7,4,6,22,25,19,31,44,19,6
Burnley FC,Burnley,2020/2021,England,33,16,17,0,9,4,5,9,6,3,15,6,9,1.09,1.13,1.06,14,16,14,14,30,45,-15,75,31,44,13,17,18,27,-5,-10,99,111,90,66,80,57,10,3,7,13,8,5,14,6,8,13,6,7,142,75,67,44,21,23,42,43,40,358,181,177,141,66,75,217,115,102,345,168,177,17,7,10,23,9,14,-6,-2,-4,7,4,3,15,7,8,11,5,6,1.09,1.19,1,2.27,1.94,2.59,0.91,0.81,1,1.36,1.13,1.59,1.21,1,1.41,0.52,0.44,0.59,0.7,0.56,0.82,29,20,13,8,4,1,15,10,4,1,1,0,14,10,9,7,3,1,4,13,20,25,29,32,1,6,12,15,15,16,3,7,8,10,14,16,88,61,39,24,12,3,94,63,25,6,6,0,82,59,53,41,18,6,12,39,61,76,88,97,6,37,75,94,94,100,18,41,47,59,82,94,23,11,5,12,4,0,11,7,5,70,33,15,75,25,0,65,41,29,27,25,29,3,30,19,41,39,50,29,42,38,47,39,38,41,16,8,8,48,50,47,21,9,12,64,56,71,6,3,3,18,19,18,21,25,18,45,44,47,33,31,35,4.30,4.69,3.94,1.33,1.31,1.35,88,76,67,64,48,30,24,15,1.12,1.14,1.09,1.75,1.52,1.97,45,6,4,3,3,3,4,1,4,2,7,4,2,7,6,2,9,4,4,27,38,18,45,38,53,15
Southampton FC,Southampton,2020/2021,England,32,15,17,1,10,6,4,6,2,4,16,7,9,1.13,1.33,0.94,16,12,18,16,40,58,-18,98,41,57,21,19,20,38,1,-19,72,64,80,50,68,40,9,6,3,15,7,8,10,3,7,16,10,6,148,71,77,49,20,29,53,53,52,382,198,184,173,90,83,209,108,101,356,174,182,26,15,11,26,8,18,0,7,-7,13,8,5,8,4,4,11,3,8,1.47,1.87,1.12,3.06,2.73,3.35,1.25,1.4,1.12,1.81,1.33,2.24,1.63,1.53,1.71,0.81,1,0.65,0.81,0.53,1.06,30,24,16,9,8,5,14,11,7,4,3,1,16,13,9,5,5,4,2,8,16,23,24,27,1,4,8,11,12,14,1,4,8,12,12,13,94,75,50,28,25,16,93,73,47,27,20,7,94,76,53,29,29,24,6,25,50,72,75,84,7,27,53,73,80,93,6,24,47,71,71,76,28,13,7,14,6,2,14,7,5,88,41,22,93,40,13,82,41,29,31,40,24,20,28,40,18,47,47,47,31,20,41,50,67,35,17,9,8,53,60,47,11,3,8,34,20,47,8,4,4,25,27,24,41,53,29,25,27,24,34,20,47,4.63,4.73,4.53,1.53,1.33,1.71,91,78,69,50,28,22,13,9,1.39,1.49,1.30,1.43,1.21,1.62,75,4,2,7,8,7,4,3,0,5,2,8,5,7,6,9,5,6,10,19,13,24,50,47,53,3
Manchester United FC,Manchester United,2020/2021,England,33,16,17,0,19,9,10,10,3,7,4,4,0,2.03,1.88,2.18,2,3,2,2,64,35,29,99,55,44,34,30,21,14,13,16,46,42,51,85,69,110,13,6,7,19,9,10,8,3,5,13,10,3,174,98,76,59,33,26,56,59,54,479,248,231,223,112,111,256,136,120,397,188,209,23,13,10,20,9,11,3,4,-1,7,4,3,19,8,11,7,4,3,1.21,1.25,1.18,3,3.44,2.59,1.94,2.13,1.76,1.06,1.31,0.82,1.3,1.38,1.24,0.7,0.81,0.59,0.61,0.56,0.65,26,21,19,15,8,4,14,10,10,7,4,4,12,11,9,8,4,0,7,12,14,18,25,29,2,6,6,9,12,12,5,6,8,9,13,17,79,64,58,45,24,12,88,63,63,44,25,25,71,65,53,47,24,0,21,36,42,55,76,88,12,37,37,56,75,75,29,35,47,53,76,100,20,13,5,9,5,3,11,8,2,61,39,15,56,31,19,65,47,12,58,56,59,-7,39,38,41,58,56,59,24,19,29,39,63,18,17,10,7,52,63,41,19,10,9,58,63,53,10,3,7,30,19,41,21,25,18,58,50,65,21,25,18,5.27,6.13,4.47,1.79,2.06,1.53,88,73,57,42,27,18,12,12,1.80,1.94,1.68,1.30,1.16,1.43,91,4,2,8,6,5,7,10,8,14,7,2,3,7,3,3,1,4,5,30,19,41,12,25,0,9
